Code, Color, Pieces
302426,Black,19779
6194729,Dark Brown,2787
4549436,Dark Tan,2493
4210719,Dark Bluish Gray,1160
4221744,Reddish Brown,986
6055169,Dark Green,300
4184108,Dark Blue,56
6099189,Sand Green,52
4159553,Tan,34
6215606,Medium Nougat,1
