FECCB0,FECCB0,FECCB0,FECCB0,FFFFFF,B89869,6A0E15,B30006,B30006,B30006,B35408,B30006,B30006,B30006,B30006,B30006,B30006,B30006,82422A,82422A,50372F,50372F,82422A,82422A,82422A,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,82422A,82422A,50372F,50372F,82422A,50372F,50372F,50372F,50372F,50372F,50372F,50372F
F7BCDA,F7BCDA,FECCB0,FECCB0,FFFFFF,A2BFA3,6A0E15,B30006,B30006,B35408,B30006,B35408,B30006,B30006,B30006,B30006,B30006,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,82422A,50372F,50372F,82422A,82422A,82422A,82422A,82422A,82422A,50372F,50372F,82422A,82422A,82422A,50372F,50372F,00A29F,B89869
F7BCDA,F7BCDA,F7BCDA,F7BCDA,FFFFFF,A2BFA3,6A0E15,B30006,B30006,B30006,B30006,B30006,B30006,B30006,B30006,B30006,B30006,82422A,82422A,82422A,00A29F,00A29F,00A29F,50372F,50372F,50372F,50372F,82422A,82422A,82422A,82422A,50372F,50372F,50372F,82422A,82422A,82422A,82422A,82422A,50372F,82422A,50372F,6A0E15,50372F,00A29F,A2BFA3,FECCB0,FECCB0
AFB5C7,00A29F,B89869,CFEFEA,FFFFFF,A2BFA3,82422A,82422A,6A0E15,B30006,B30006,B30006,B30006,B30006,B30006,B30006,82422A,82422A,82422A,82422A,00A29F,00A29F,00A29F,82422A,82422A,82422A,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,82422A,50372F,82422A,82422A,50372F,50372F,50372F,00A29F,B89869,FECCB0,FECCB0,FF8172,EED9A4
A2BFA3,B89869,A2BFA3,EED9A4,FFFFFF,A2BFA3,B89869,FECCB0,82422A,6A0E15,B30006,B30006,B30006,B30006,B30006,82422A,82422A,82422A,50372F,82422A,00A29F,82422A,FF8172,FF8172,FF8172,FF8172,B89869,82422A,82422A,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,50372F,B89869,EED9A4,FECCB0,FECCB0,FF8172,B72276,FF8172,FECCB0
EED9A4,00A29F,00A29F,EED9A4,FFFFFF,A2BFA3,00A29F,FFFFFF,EED9A4,B89869,6A0E15,6A0E15,B30006,B35408,B30006,82422A,82422A,82422A,B89869,B89869,00A29F,B89869,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,82422A,82422A,82422A,82422A,82422A,82422A,6A0E15,00A29F,A2BFA3,FECCB0,FFFFFF,FECCB0,FECCB0,FF8172,B35408,B72276,FF8172,FECCB0
212121,00A29F,B89869,50372F,B89869,AFB5C7,00A29F,FECCB0,FECCB0,FECCB0,EED9A4,82422A,6A0E15,B30006,82422A,82422A,50372F,50372F,B89869,B89869,B89869,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,B89869,D3BDE3,FECCB0,FECCB0,FF8172,EED9A4,FECCB0,B72276,B72276,B72276,FF8172,FECCB0
212121,50372F,00A29F,00A29F,A2BFA3,A2BFA3,00A29F,FECCB0,FECCB0,FECCB0,F7BCDA,F7BCDA,EED9A4,B89869,82422A,82422A,50372F,B89869,EED9A4,A2BFA3,B89869,FF8172,FECCB0,FF8172,FF8172,FF8172,FF7E14,FF7E14,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,B89869,FECCB0,FECCB0,B72276,FF8172,FECCB0,B72276,B72276,B72276,B72276,FF8172,FECCB0
82422A,50372F,B89869,00A29F,B89869,A2BFA3,50372F,FECCB0,FECCB0,FECCB0,FECCB0,F7BCDA,FFFFFF,B89869,50372F,82422A,50372F,B89869,AFB5C7,A2BFA3,AFB5C7,AFB5C7,FECCB0,FECCB0,FF8172,FF8172,FF8172,FF8172,FF7E14,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FF8172,FECCB0,FF8172,B72276,B72276,B72276,FF8172,EED9A4,FECCB0
82422A,82422A,EED9A4,00A29F,212121,00A29F,50372F,FECCB0,FECCB0,FECCB0,F7BCDA,F7BCDA,EED9A4,50372F,50372F,82422A,82422A,50372F,243757,50372F,B72276,B72276,B72276,B89869,FF8172,FF8172,FECCB0,FF8172,FF8172,B35408,B35408,B35408,B35408,FF7E14,FF8172,B89869,B89869,FECCB0,FECCB0,FF8172,FF8172,B72276,B72276,B72276,FF8172,FF8172,FECCB0,A2BFA3
