B89869,A2BFA3,E3A05B,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,B35408,FF7E14,E3A05B,FF8172,FF7E14,82422A,50372F,B89869,E3A05B,82422A,B89869,B89869,E3A05B,E3A05B,B89869,50372F,50372F,B89869,B89869,FECCB0,FECCB0,FF8172,B89869,2E5543,243757,00A29F,FECCB0,FF8172,FF8172,FF8172,FF8172
B89869,A2BFA3,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,FF7E14,FF8172,FF8172,82422A,82422A,E3A05B,E3A05B,B89869,82422A,B89869,B89869,B89869,E3A05B,FF8172,FF8172,B89869,82422A,82422A,B89869,B89869,FF8172,A2BFA3,0057A6,2E5543,243757,B89869,FECCB0,FF8172,FECCB0,FF8172
B89869,A2BFA3,FF8172,E3A05B,FF8172,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,E3A05B,FF7E14,FF8172,82422A,82422A,E3A05B,E3A05B,E3A05B,B89869,82422A,E3A05B,E3A05B,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,E3A05B,B89869,B89869,B89869,00A29F,0057A6,212121,E3A05B,FECCB0,FF8172,FF8172,FF8172
A2BFA3,A2BFA3,FF8172,E3A05B,FF8172,FF8172,FF8172,FF8172,E3A05B,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,B89869,B35408,B35408,82422A,B89869,E3A05B,E3A05B,E3A05B,82422A,82422A,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,FF8172,B89869,00A29F,0057A6,2E5543,FECCB0,FF8172,FF8172,FF8172,FF8172
A2BFA3,A2BFA3,FF8172,FF8172,FF8172,FF8172,FF8172,B89869,B89869,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,82422A,82422A,E3A05B,E3A05B,E3A05B,E3A05B,E3A05B,82422A,82422A,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,E3A05B,E3A05B,B89869,00A29F,00A29F,243757,00A29F,FFFFFF,FECCB0,FF8172,FF8172,FECCB0
A2BFA3,A2BFA3,FF8172,FF8172,FF8172,FF8172,E3A05B,B89869,E3A05B,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,B89869,82422A,B89869,FF8172,FF8172,E3A05B,E3A05B,82422A,B89869,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,00A29F,00A29F,243757,0057A6,82ADD8,2E5543,B89869,FFFFFF,FF8172,FF8172,FF8172,FECCB0
A2BFA3,A2BFA3,FF8172,FF8172,FF8172,FF8172,E3A05B,B35408,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,82422A,B89869,FF8172,E3A05B,E3A05B,E3A05B,82422A,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,EED9A4,243757,0057A6,0057A6,00A29F,00A29F,212121,EED9A4,FECCB0,FF8172,FF8172,FF8172,FF8172
A2BFA3,B89869,FF8172,FF8172,FF8172,FF8172,FF8172,B89869,B89869,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,82422A,B89869,E3A05B,FF8172,FF8172,82422A,82422A,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,B89869,AFB5C7,00A29F,0057A6,00A29F,00A29F,00A29F,50372F,FFFFFF,FECCB0,FF8172,FF8172,FF8172,FF8172
A2BFA3,B89869,FF8172,FF8172,FF8172,FF8172,B89869,B89869,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FF8172,82422A,B89869,E3A05B,E3A05B,FF8172,82422A,B89869,FECCB0,FECCB0,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,B89869,50372F,EED9A4,A2BFA3,243757,00A29F,00A29F,212121,B89869,FFFFFF,FECCB0,FECCB0,FF8172,FF8172,FF8172
A2BFA3,B89869,FF8172,FF8172,FF8172,FF8172,B89869,B89869,FF8172,FF8172,FF8172,FF8172,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,FECCB0,82422A,B89869,E3A05B,FF8172,82422A,82422A,FF8172,FECCB0,B89869,FF8172,FECCB0,FECCB0,A2BFA3,00A29F,00A29F,50372F,EED9A4,D3BDE3,243757,0057A6,00A29F,212121,EED9A4,FFFFFF,F7BCDA,FECCB0,FF8172,FF8172,FF8172
