Code, Color, Pieces
302401,White,1207
4549436,Dark Tan,272
6194729,Dark Brown,256
302426,Black,247
4210719,Dark Bluish Gray,139
4221744,Reddish Brown,81
6099189,Sand Green,24
6055169,Dark Green,23
6058016,Light Aqua,22
4211399,Light Bluish Gray,12
6099363,Lavender,7
4184108,Dark Blue,7
4159553,Tan,6
6031883,Bright Pink,1
