Code, Color, Pieces
302426,Black,1562
4549436,Dark Tan,249
6194729,Dark Brown,225
4210719,Dark Bluish Gray,127
4221744,Reddish Brown,88
6055169,Dark Green,35
4184108,Dark Blue,7
4159553,Tan,6
6099189,Sand Green,5
